dataset,method,cost,valid,diversity,dpp,manifold_dist
German,DiCE,0.41 $\pm$ 0.34,\textbf{1.00} $\pm$ 0.00,0.71 $\pm$ 0.74,0.14 $\pm$ 0.09,\textbf{0.15} $\pm$ 0.11
,FRPD-QUAD,0.30 $\pm$ 0.19,\textbf{1.00} $\pm$ 0.00,\textbf{-0.53} $\pm$ 0.70,0.14 $\pm$ 0.12,0.19 $\pm$ 0.19
,FRPD-DPP-GR,0.31 $\pm$ 0.22,\textbf{1.00} $\pm$ 0.00,0.17 $\pm$ 0.20,\textbf{0.16} $\pm$ 0.14,0.27 $\pm$ 0.23
,FRPD-DPP-LS,\textbf{0.30} $\pm$ 0.18,\textbf{1.00} $\pm$ 0.00,0.18 $\pm$ 0.20,0.15 $\pm$ 0.12,0.30 $\pm$ 0.23
SBA,DiCE,0.71 $\pm$ 0.22,0.95 $\pm$ 0.22,2.49 $\pm$ 0.61,0.23 $\pm$ 0.12,0.86 $\pm$ 0.24
,FRPD-QUAD,0.45 $\pm$ 0.30,\textbf{1.00} $\pm$ 0.00,\textbf{-0.17} $\pm$ 0.60,0.23 $\pm$ 0.19,\textbf{0.23} $\pm$ 0.16
,FRPD-DPP-GR,\textbf{0.41} $\pm$ 0.33,\textbf{1.00} $\pm$ 0.00,0.18 $\pm$ 0.21,0.24 $\pm$ 0.23,0.26 $\pm$ 0.19
,FRPD-DPP-LS,0.41 $\pm$ 0.33,\textbf{1.00} $\pm$ 0.00,0.18 $\pm$ 0.19,\textbf{0.25} $\pm$ 0.23,0.27 $\pm$ 0.19
Bank,DiCE,1.62 $\pm$ 0.32,\textbf{1.00} $\pm$ 0.00,2.14 $\pm$ 0.64,0.34 $\pm$ 0.26,0.48 $\pm$ 0.37
,FRPD-QUAD,1.09 $\pm$ 0.21,\textbf{1.00} $\pm$ 0.00,\textbf{0.03} $\pm$ 0.26,\textbf{0.63} $\pm$ 0.11,0.51 $\pm$ 0.20
,FRPD-DPP-GR,\textbf{1.06} $\pm$ 0.21,\textbf{1.00} $\pm$ 0.00,0.04 $\pm$ 0.11,0.62 $\pm$ 0.11,\textbf{0.43} $\pm$ 0.20
,FRPD-DPP-LS,\textbf{1.06} $\pm$ 0.21,\textbf{1.00} $\pm$ 0.00,0.04 $\pm$ 0.11,0.62 $\pm$ 0.11,\textbf{0.43} $\pm$ 0.20
Adult,DiCE,1.95 $\pm$ 0.37,\textbf{1.00} $\pm$ 0.00,1.08 $\pm$ 0.55,\textbf{0.73} $\pm$ 0.13,1.54 $\pm$ 0.31
,FRPD-QUAD,1.48 $\pm$ 0.58,\textbf{1.00} $\pm$ 0.00,0.43 $\pm$ 0.33,0.67 $\pm$ 0.18,\textbf{0.60} $\pm$ 0.32
,FRPD-DPP-GR,\textbf{1.44} $\pm$ 0.61,\textbf{1.00} $\pm$ 0.00,\textbf{0.37} $\pm$ 0.30,0.67 $\pm$ 0.19,0.66 $\pm$ 0.36
,FRPD-DPP-LS,\textbf{1.44} $\pm$ 0.61,\textbf{1.00} $\pm$ 0.00,\textbf{0.37} $\pm$ 0.30,0.67 $\pm$ 0.19,0.66 $\pm$ 0.36
