dataset,method,cost,valid,diversity,dpp,manifold_dist,likelihood,feasible
German,FRPD-QUAD,\textbf{0.26} $\pm$ 0.21,\textbf{1.00} $\pm$ 0.00,\textbf{-0.52} $\pm$ 0.64,0.07 $\pm$ 0.07,\textbf{0.12} $\pm$ 0.09,-0.12 $\pm$ 0.03,1.00
,FRPD-DPP-GR,0.29 $\pm$ 0.25,\textbf{1.00} $\pm$ 0.00,0.16 $\pm$ 0.23,0.15 $\pm$ 0.16,0.23 $\pm$ 0.19,\textbf{-0.12} $\pm$ 0.03,1.00
,FRPD-DPP-LS,0.29 $\pm$ 0.25,\textbf{1.00} $\pm$ 0.00,0.17 $\pm$ 0.23,0.15 $\pm$ 0.16,0.23 $\pm$ 0.19,-0.12 $\pm$ 0.03,1.00
,DICE,0.55 $\pm$ 0.23,\textbf{1.00} $\pm$ 0.00,0.19 $\pm$ 0.58,\textbf{0.28} $\pm$ 0.14,0.16 $\pm$ 0.09,-0.13 $\pm$ 0.02,1.00
SBA,FRPD-QUAD,0.42 $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,\textbf{-0.26} $\pm$ 0.51,\textbf{0.23} $\pm$ 0.18,\textbf{0.25} $\pm$ 0.20,-0.15 $\pm$ 0.05,1.00
,FRPD-DPP-GR,0.34 $\pm$ 0.31,\textbf{1.00} $\pm$ 0.00,0.19 $\pm$ 0.25,0.18 $\pm$ 0.20,0.29 $\pm$ 0.26,\textbf{-0.15} $\pm$ 0.05,1.00
,FRPD-DPP-LS,\textbf{0.34} $\pm$ 0.32,\textbf{1.00} $\pm$ 0.00,0.18 $\pm$ 0.24,0.18 $\pm$ 0.21,0.28 $\pm$ 0.26,-0.15 $\pm$ 0.05,1.00
,DICE,0.67 $\pm$ 0.29,0.95 $\pm$ 0.23,2.55 $\pm$ 0.52,0.20 $\pm$ 0.15,0.81 $\pm$ 0.31,-0.20 $\pm$ 0.06,1.00
Student,FRPD-QUAD,1.10 $\pm$ 0.46,\textbf{1.00} $\pm$ 0.00,\textbf{0.32} $\pm$ 0.62,\textbf{0.55} $\pm$ 0.19,0.55 $\pm$ 0.22,-0.12 $\pm$ 0.02,1.00
,FRPD-DPP-GR,0.95 $\pm$ 0.53,\textbf{1.00} $\pm$ 0.00,0.45 $\pm$ 0.48,0.51 $\pm$ 0.21,0.56 $\pm$ 0.25,\textbf{-0.12} $\pm$ 0.02,1.00
,FRPD-DPP-LS,0.97 $\pm$ 0.56,\textbf{1.00} $\pm$ 0.00,0.43 $\pm$ 0.46,0.51 $\pm$ 0.22,\textbf{0.54} $\pm$ 0.23,-0.12 $\pm$ 0.02,1.00
,DICE,\textbf{0.56} $\pm$ 0.23,0.50 $\pm$ 0.50,0.67 $\pm$ 1.19,0.34 $\pm$ 0.15,0.75 $\pm$ 0.24,-0.14 $\pm$ 0.04,1.00
Adult,FRPD-QUAD,1.30 $\pm$ 0.61,\textbf{1.00} $\pm$ 0.00,0.46 $\pm$ 0.38,0.56 $\pm$ 0.24,\textbf{0.56} $\pm$ 0.33,\textbf{-17.16} $\pm$ 1.99,1.00
,FRPD-DPP-GR,1.28 $\pm$ 0.63,\textbf{1.00} $\pm$ 0.00,0.21 $\pm$ 0.24,0.63 $\pm$ 0.23,0.59 $\pm$ 0.37,-17.55 $\pm$ 2.00,1.00
,FRPD-DPP-LS,\textbf{1.28} $\pm$ 0.63,\textbf{1.00} $\pm$ 0.00,\textbf{0.21} $\pm$ 0.23,0.63 $\pm$ 0.23,0.59 $\pm$ 0.37,-17.55 $\pm$ 1.99,1.00
,DICE,1.91 $\pm$ 0.35,\textbf{1.00} $\pm$ 0.00,0.82 $\pm$ 0.50,\textbf{0.76} $\pm$ 0.08,1.34 $\pm$ 0.43,-19.48 $\pm$ 1.97,1.00
Bank,FRPD-QUAD,1.18 $\pm$ 0.32,\textbf{1.00} $\pm$ 0.00,0.30 $\pm$ 0.34,0.62 $\pm$ 0.14,0.66 $\pm$ 0.22,\textbf{-0.64} $\pm$ 0.07,1.00
,FRPD-DPP-GR,\textbf{1.16} $\pm$ 0.31,\textbf{1.00} $\pm$ 0.00,0.14 $\pm$ 0.23,0.64 $\pm$ 0.14,\textbf{0.53} $\pm$ 0.24,-0.65 $\pm$ 0.07,1.00
,FRPD-DPP-LS,1.17 $\pm$ 0.31,\textbf{1.00} $\pm$ 0.00,\textbf{0.14} $\pm$ 0.23,\textbf{0.64} $\pm$ 0.14,0.54 $\pm$ 0.24,-0.64 $\pm$ 0.07,1.00
,DICE,1.74 $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,1.78 $\pm$ 0.64,0.53 $\pm$ 0.24,0.72 $\pm$ 0.45,-0.93 $\pm$ 0.09,1.00
