dataset,method,cost,valid,diversity,dpp,manifold_dist
German,FRPD-QUAD,0.30 $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,\textbf{-0.73} $\pm$ 0.31,0.29 $\pm$ 0.23,\textbf{0.12} $\pm$ 0.12
,FRPD-DPP-GR,\textbf{0.18} $\pm$ 0.23,\textbf{1.00} $\pm$ 0.00,0.02 $\pm$ 0.04,\textbf{0.47} $\pm$ 0.23,\textbf{0.12} $\pm$ 0.12
,FRPD-DPP-LS,0.18 $\pm$ 0.23,\textbf{1.00} $\pm$ 0.00,0.01 $\pm$ 0.03,\textbf{0.49} $\pm$ 0.21,\textbf{0.12} $\pm$ 0.12
,DICE,0.39 $\pm$ 0.34,\textbf{1.00} $\pm$ 0.00,0.09 $\pm$ 0.31,0.49 $\pm$ 0.24,0.13 $\pm$ 0.12
SBA,FRPD-QUAD,0.31 $\pm$ 0.25,\textbf{1.00} $\pm$ 0.00,\textbf{-0.48} $\pm$ 0.30,0.39 $\pm$ 0.27,0.19 $\pm$ 0.19
,FRPD-DPP-GR,\textbf{0.27} $\pm$ 0.31,\textbf{1.00} $\pm$ 0.00,0.03 $\pm$ 0.06,\textbf{0.51} $\pm$ 0.21,0.16 $\pm$ 0.19
,FRPD-DPP-LS,0.29 $\pm$ 0.34,\textbf{1.00} $\pm$ 0.00,0.02 $\pm$ 0.04,\textbf{0.51} $\pm$ 0.21,\textbf{0.16} $\pm$ 0.20
,DICE,0.61 $\pm$ 0.32,0.95 $\pm$ 0.23,0.87 $\pm$ 0.25,0.46 $\pm$ 0.22,0.69 $\pm$ 0.33
Bank,FRPD-QUAD,1.18 $\pm$ 0.36,\textbf{1.00} $\pm$ 0.00,\textbf{-0.04} $\pm$ 0.08,0.80 $\pm$ 0.15,0.54 $\pm$ 0.23
,FRPD-DPP-GR,\textbf{1.03} $\pm$ 0.42,\textbf{1.00} $\pm$ 0.00,0.01 $\pm$ 0.04,\textbf{0.85} $\pm$ 0.11,\textbf{0.41} $\pm$ 0.23
,FRPD-DPP-LS,1.04 $\pm$ 0.43,\textbf{1.00} $\pm$ 0.00,0.01 $\pm$ 0.03,\textbf{0.85} $\pm$ 0.11,0.42 $\pm$ 0.23
,DICE,1.72 $\pm$ 0.27,\textbf{1.00} $\pm$ 0.00,0.66 $\pm$ 0.27,0.71 $\pm$ 0.26,0.58 $\pm$ 0.43
Adult,FRPD-QUAD,1.27 $\pm$ 0.64,\textbf{1.00} $\pm$ 0.00,\textbf{-0.07} $\pm$ 0.14,0.81 $\pm$ 0.21,0.51 $\pm$ 0.35
,FRPD-DPP-GR,\textbf{1.18} $\pm$ 0.64,\textbf{1.00} $\pm$ 0.00,0.02 $\pm$ 0.05,0.79 $\pm$ 0.22,\textbf{0.34} $\pm$ 0.27
,FRPD-DPP-LS,1.19 $\pm$ 0.65,\textbf{1.00} $\pm$ 0.00,0.02 $\pm$ 0.05,0.79 $\pm$ 0.22,0.34 $\pm$ 0.26
,DICE,1.72 $\pm$ 0.51,0.99 $\pm$ 0.10,0.27 $\pm$ 0.26,\textbf{0.87} $\pm$ 0.11,1.11 $\pm$ 0.59
